source	function	category	status	provider	calls	books	returns
EXCEL	ABS	math	have	math	208	32	number
EXCEL	ACOS	math	have	math	0	0	number
EXCEL	ACOSH	math	have	primitives	0	0	number
EXCEL	ACOT	math	have	primitives	0	0	number
EXCEL	ACOTH	math	have	primitives	0	0	number
EXCEL	AGGREGATE	math	have		0	0	function_num, options, ref1, [ref2], ...
EXCEL	ARABIC	math	have		0	0	text
EXCEL	ASIN	math	have	math	0	0	number
EXCEL	ASINH	math	have	primitives	0	0	number
EXCEL	ATAN	math	have	math	0	0	number
EXCEL	ATAN2	math	have	math	0	0	x_num, y_num
EXCEL	ATANH	math	have	primitives	0	0	number
EXCEL	BASE	math	have	math	0	0	Number, Radix [Min_length]
EXCEL	CEILING.MATH	math	have		0	0	number, [significance], [mode]
EXCEL	CEILING.PRECISE	math	have		0	0	number, [significance]
EXCEL	COMBIN	math	have	combination	0	0	number, number_chosen
EXCEL	COMBINA	math	have		0	0	number, number_chosen
EXCEL	COS	math	have	math	0	0	number
EXCEL	COSH	math	have	primitives	0	0	number
EXCEL	COT	math	have	primitives	0	0	number
EXCEL	COTH	math	have	primitives	0	0	number
EXCEL	CSC	math	have	primitives	0	0	number
EXCEL	CSCH	math	have	primitives	0	0	number
EXCEL	DECIMAL	math	have	math	0	0	text, radix
EXCEL	DEGREES	math	have	primitives	0	0	angle
EXCEL	EVEN	math	have	primitives	0	0	number
EXCEL	EXP	math	have	math	41	2	number
EXCEL	FACT	math	have	factorial	0	0	number
EXCEL	FACTDOUBLE	math	have		0	0	number
EXCEL	FLOOR.MATH	math	have		0	0	number, [significance], [mode]
EXCEL	FLOOR.PRECISE	math	have		0	0	number, [significance]
EXCEL	GCD	math	have	math	0	0	number1, [number2], ...
EXCEL	INT	math	have	math	0	0	number
EXCEL	ISO.CEILING	math	have		0	0	number, [significance]
EXCEL	LCM	math	have	math	0	0	number1, [number2], ...
EXCEL	LN	math	have	math	0	0	number
EXCEL	LOG	math	have	math	41	2	number, [base]
EXCEL	LOG10	math	have	math	0	0	number
EXCEL	MDETERM	math	have		0	0	array
EXCEL	MINVERSE	math	have	choleskyInverse	0	0	array
EXCEL	MMULT	math	have	multiply	0	0	array1, array2
EXCEL	MOD	math	have	math	2924	3	number, divisor
EXCEL	MROUND	math	have		0	0	number, multiple
EXCEL	MULTINOMIAL	math	have		0	0	number1, [number2], ...
EXCEL	MUNIT	math	have		0	0	dimension
EXCEL	ODD	math	have	primitives	0	0	number
EXCEL	PERCENTOF	math	have		0	0	data_subset,data_all
EXCEL	PI	math	have	math	0	0	(no arguments)
EXCEL	POWER	math	have	math	0	0	number, power
EXCEL	PRODUCT	math	have	math	0	0	number1, [number2], ...
EXCEL	QUOTIENT	math	have	primitives	0	0	numerator, denominator
EXCEL	RADIANS	math	have	primitives	0	0	angle
EXCEL	RAND	math	have	math	44	1	(no arguments)
EXCEL	RANDARRAY	math	have		0	0	[rows],[columns],[min],[max],[whole_number]
EXCEL	RANDBETWEEN	math	have	math	150	2	bottom, top
EXCEL	ROMAN	math	have		0	0	number, [form]
EXCEL	ROUND	math	have	math	154	24	number, num_digits
EXCEL	ROUNDDOWN	math	have	math	0	0	number, num_digits
EXCEL	ROUNDUP	math	have	math	2	2	number, num_digits
EXCEL	SEC	math	have	primitives	0	0	number
EXCEL	SECH	math	have	primitives	0	0	number
EXCEL	SERIESSUM	math	have		0	0	x, n, m, coefficients
EXCEL	SEQUENCE	math	have	linearSpace	0	0	rows,[columns],[start],[step]
EXCEL	SIGN	math	have	math	0	0	number
EXCEL	SIN	math	have	math	0	0	number
EXCEL	SINH	math	have	primitives	0	0	number
EXCEL	SQRT	math	have	math	153	7	number
EXCEL	SQRTPI	math	have	primitives	0	0	number
EXCEL	SUBTOTAL	math	have		0	0	function_num,ref1,[ref2],...
EXCEL	SUM	math	have	aggregation	69194	338	number1,[number2],...
EXCEL	SUMIF	math	have	aggregation	38	4	range, criteria, [sum_range]
EXCEL	SUMIFS	math	have	aggregation	78816	4	sum_range, criteria_range1, criteria1, [criteria_range2, criteria2], ...
EXCEL	SUMPRODUCT	math	have	aggregation	805	134	array1, [array2], [array3], ...
EXCEL	SUMSQ	math	have	aggregation	4	4	number1, [number2], ...
EXCEL	SUMX2MY2	math	have		0	0	array_x, array_y
EXCEL	SUMX2PY2	math	have		0	0	array_x, array_y
EXCEL	SUMXMY2	math	have	NelsonSiegelYieldCurve.sumSquaredErrors	0	0	array_x, array_y
EXCEL	TAN	math	have	math	0	0	number
EXCEL	TANH	math	have	primitives	0	0	number
EXCEL	TRUNC	math	have	math	0	0	number, [num_digits]
EXCEL	AVEDEV	statistical	have	spreadsheet statistics	0	0	number1, [number2], ...
EXCEL	AVERAGE	statistical	have	stats	67	18	number1, [number2], ...
EXCEL	AVERAGEA	statistical	have	coercing aggregates	0	0	value1, [value2], ...
EXCEL	AVERAGEIF	statistical	have	aggregation	0	0	range, criteria, [average_range]
EXCEL	AVERAGEIFS	statistical	have	PeriodSequence.aggregate	0	0	average_range, criteria_range1, criteria1, [criteria_range2, criteria2], ...
EXCEL	BETA.DIST	statistical	have	betaCDF	0	0	x,alpha,beta,cumulative,[A],[B]
EXCEL	BETA.INV	statistical	have	statistical quantiles	0	0	probability,alpha,beta,[A],[B]
EXCEL	BINOM.DIST	statistical	have	statistical distributions	0	0	number_s,trials,probability_s,cumulative
EXCEL	BINOM.DIST.RANGE	statistical	have	gamma and modes	0	0	trials,probability_s,number_s,[number_s2]
EXCEL	BINOM.INV	statistical	have	accumulate binomialPMF, as PsiBinomial does — bound	0	0	trials,probability_s,alpha
EXCEL	CHISQ.DIST	statistical	have	chi2pdf	0	0	x,deg_freedom,cumulative
EXCEL	CHISQ.DIST.RT	statistical	have	statistical distributions	0	0	x,deg_freedom
EXCEL	CHISQ.INV	statistical	have	spreadsheet statistics	0	0	probability,deg_freedom
EXCEL	CHISQ.INV.RT	statistical	have	DistributionChiSquared.quantile(1-p) — bound	0	0	probability,deg_freedom
EXCEL	CHISQ.TEST	statistical	have	statistical tests	0	0	actual_range,expected_range
EXCEL	CONFIDENCE.NORM	statistical	have	statistical tests	0	0	alpha,standard_dev,size
