path	outcome	solver_names	models	engines	relations	ms	detail
Academic/Law.edu/Law School.xlsx	transientFailure	0	0			563	Error Domain=NSCocoaErrorDomain Code=256 "The file “Law School.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Academic/Law.edu/Law School.xlsx, NSURL=file:///Users/jpurnell/Documents/Academic/Law.edu/Law%20School.xlsx, NSUnderlyingError=0x76588cefd0 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Academic/MIT Micromasters/MITx SC2x/Week 1 Practice Problems/CTL.xlsx	transientFailure	0	0			530	Error Domain=NSCocoaErrorDomain Code=256 "The file “CTL.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Academic/MIT Micromasters/MITx SC2x/Week 1 Practice Problems/CTL.xlsx, NSURL=file:///Users/jpurnell/Documents/Academic/MIT%20Micromasters/MITx%20SC2x/Week%201%20Practice%20Problems/CTL.xlsx, NSUnderlyingError=0x765310dec0 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Academic/MIT Micromasters/MITx SC2x/Week 1 Practice Problems/Graded Assignment 1.xlsx	ok	134	4	simplexLP,simplexLP,simplexLP,simplexLP	1,2,3	17	
Academic/MIT Micromasters/MITx SC2x/Week 1 Practice Problems/Practice Problems.xlsx	ok	236	7	simplexLP,simplexLP,simplexLP,simplexLP,simplexLP,simplexLP,simplexLP	1,2,3	10	
Academic/MIT Micromasters/MITx SC2x/Week 2 Practice Problems/CTL.SC2x_W2GA_Data_Uniform.xlsx	transientFailure	0	0			523	Error Domain=NSCocoaErrorDomain Code=256 "The file “CTL.SC2x_W2GA_Data_Uniform.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Academic/MIT Micromasters/MITx SC2x/Week 2 Practice Problems/CTL.SC2x_W2GA_Data_Uniform.xlsx, NSURL=file:///Users/jpurnell/Documents/Academic/MIT%20Micromasters/MITx%20SC2x/Week%202%20Practice%20Problems/CTL.SC2x_W2GA_Data_Uniform.xlsx, NSUnderlyingError=0x76588cf030 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Academic/MIT Micromasters/MITx SC2x/Week 2 Practice Problems/CTL.SC2x_W2PP_Data_Estimating.xlsx	ok	0	0			19	
Academic/MIT Micromasters/MITx SC2x/Week 2 Practice Problems/CTL.SC2x_W2PP_Data_Temp.xlsx	transientFailure	0	0			581	Error Domain=NSCocoaErrorDomain Code=256 "The file “CTL.SC2x_W2PP_Data_Temp.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Academic/MIT Micromasters/MITx SC2x/Week 2 Practice Problems/CTL.SC2x_W2PP_Data_Temp.xlsx, NSURL=file:///Users/jpurnell/Documents/Academic/MIT%20Micromasters/MITx%20SC2x/Week%202%20Practice%20Problems/CTL.SC2x_W2PP_Data_Temp.xlsx, NSUnderlyingError=0x76588cf1b0 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Academic/MIT Micromasters/MITx SC2x/Week 2 Practice Problems/Network Facility.xlsx	ok	64	2	grgNonlinear,grgNonlinear	1,3	8	
Academic/MIT Micromasters/MITx SC2x/Week 2 Practice Problems/Practice Problems - Week 2.xlsx	transientFailure	0	0			590	Error Domain=NSCocoaErrorDomain Code=256 "The file “Practice Problems - Week 2.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Academic/MIT Micromasters/MITx SC2x/Week 2 Practice Problems/Practice Problems - Week 2.xlsx, NSURL=file:///Users/jpurnell/Documents/Academic/MIT%20Micromasters/MITx%20SC2x/Week%202%20Practice%20Problems/Practice%20Problems%20-%20Week%202.xlsx, NSUnderlyingError=0x76588cf210 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Academic/MIT Micromasters/MITx SC2x/Week 2 Practice Problems/W2L1_Worksheet.xlsx	transientFailure	0	0			531	Error Domain=NSCocoaErrorDomain Code=256 "The file “W2L1_Worksheet.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Academic/MIT Micromasters/MITx SC2x/Week 2 Practice Problems/W2L1_Worksheet.xlsx, NSURL=file:///Users/jpurnell/Documents/Academic/MIT%20Micromasters/MITx%20SC2x/Week%202%20Practice%20Problems/W2L1_Worksheet.xlsx, NSUnderlyingError=0x76588cf090 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
